stage	date	truckID	shift	digblock	flitch	materialType	sp	tonnesTruck	planGrade	dilutedGrade	grabSample	ounces	comments
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT134	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Full truck load
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	20	0.509655345	0.51	0.00	0	1/4 truck load
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0063_MW_001	4825	MW	MW SP	80	0.452696952	0.45	0.00	1	
1	8/19/25	DT100	D	CPO_1_4825_0063_MW_001	4825	MW	MW SP	80	0.452696952	0.45	0.00	1	
1	8/19/25	DT100	D	CPO_1_4825_0063_MW_001	4825	MW	MW SP	80	0.452696952	0.45	0.00	1	
1	8/19/25	DT107	D	CPO_1_4825_0063_MW_001	4825	MW	MW SP	80	0.452696952	0.45	0.00	1	
